cq_score,condition
4.610694384371704,control
4.730209081316179,control
5.317141326434901,control
5.403124102512002,control
6.2538364923395715,control
5.67518935382475,control
7.727250235301267,control
6.476444883635612,control
8.251750402144452,control
6.975523522502443,control
6.162726482444122,control
7.811746251124362,control
7.307713756042803,control
7.830708761722228,control
7.038119862168108,control
5.999650457485054,control
3.8484043378859845,control
5.10845345959061,control
7.119109154518691,control
6.535226991169209,control
8.049380429713516,control
7.697043566887164,control
6.87497977329683,control
14.109903220970256,control
12.869513740105388,control
4.869386510751168,control
4.246411764511594,control
3.8372406486649586,control
3.9486985907666865,control
6.747236298591577,control
6.816951529126438,control
7.253309790250613,control
6.890711207197269,control
6.148092021602431,control
4.9177389445785415,control
5.615717715377089,control
6.774883199836548,control
8.948065390135636,control
4.921614346607437,control
7.415171906963795,control
7.481348943958215,control
7.719093139938904,control
8.334384286983994,control
9.628564103560809,control
9.813667407433345,control
7.190389421961382,control
7.387815143535898,control
6.004762742646669,control
5.997912536630956,control
6.545204362610878,control
4.942464373091521,control
7.1102948598226146,control
7.953463589500021,control
6.205708896363682,control
8.844909262437639,control
5.368622300733685,control
4.305891874827076,control
5.004516225937231,control
6.711787234493865,control
6.222143540920465,control
3.2655506436872237,control
6.096937629334775,control
4.093880154027838,control
5.436420406539321,control
5.776099005458152,control
4.212119873533418,control
6.4059474045411235,control
4.564689509810927,control
7.019857199668486,control
7.8895223004218975,control
5.294645838695059,control
5.0076320116014745,control
7.332633845955646,control
15.587023475656366,control
9.629637998658508,control
4.942991455955045,control
4.6964257957834805,control
6.2256168311300595,control
5.075800242750424,control
7.6234773204491,control
6.28125051453328,control
4.27443022106616,control
4.570553698560769,control
6.241614156852657,control
7.081420875205277,control
0.0,control
9.755901952942324,control
3.3119795732392814,control
0.0,control
0.0,control
3.845919570389471,control
3.608294121786761,control
2.5744684805259004,control
4.015000170207539,control
5.389848619080581,control
7.455026367138917,control
10.235810504160767,control
8.186456950256009,control
7.062415275164223,control
10.005339034975389,control
6.230266707772237,control
5.441639147478499,control
4.1689084288927685,control
7.026551950765718,control
7.650384726438146,control
9.410176239967745,control
8.954154566169349,control
10.775741088646495,control
10.912466761831126,control
10.134113396752774,control
5.4613907912371245,control
5.8332563792043715,control
6.62624585207649,control
7.988008240190402,control
11.618545858116402,control
1.7693348781381892,real
4.646356984334348,real
2.694714125365042,real
1.0,real
7.2427883711635825,real
4.12068501297091,real
6.91385532084492,real
5.648162770701466,real
6.612095481765293,real
8.924910777300875,real
4.128372718730903,real
7.662626859007486,real
6.945278544653007,real
8.370678840934053,real
7.106084411961978,real
5.985505547654436,real
8.822555409261192,real
0.0,real
4.759828997885091,real
1.7107256468377723,real
4.077794203288416,real
8.754491354884891,real
10.109772934485033,real
7.282980391514385,real
7.93260414534001,real
4.659094138382567,real
7.385260551260654,real
6.133933436268234,real
5.7228462217190685,real
4.129694720693272,real
4.452920720453178,real
4.761620525980787,real
5.310334797960969,real
6.3979563523717085,real
6.103105048602643,real
8.810798696565469,real
9.493062180054956,real
14.792127197067845,real
8.590176427970686,real
7.6435125576390766,real
7.804125369224936,real
12.074278626875348,real
5.990292108316057,real
8.223755192229394,real
8.029921983091699,real
5.639517422708538,real
7.671100138090844,real
4.3693468580220465,real
7.744088909018344,real
6.215392704905704,real
4.302169544398664,real
6.419176759883716,real
4.953941498148865,real
5.612345259049991,real
4.2117912131424955,real
6.164777898298075,real
5.829504379868186,real
6.208211551088855,real
6.259252257445646,real
3.7967414601041334,real
4.6785569518400205,real
5.171648400647545,real
8.212216978993048,real
5.332937598587613,real
6.057538917057977,real
6.1799307381904205,real
6.533538966582386,real
4.155397946354936,real
5.698526961808359,real
4.243553008736218,real
6.94492346028324,real
6.614178941846799,real
5.044599622056697,real
7.326454626174932,real
4.970668056176626,real
6.210684875183106,real
6.1967447624086915,real
3.637188643504867,real
5.273469289215759,real
7.592210009125015,real
4.9408991769966395,real
5.6920433748332355,real
4.498291016938036,real
5.694657823250707,real
5.469983806229417,real
6.509873044434415,real
5.563781243603602,real
5.234362243995648,real
5.111128935392127,real
6.742828175435758,real
3.7713337147687502,real
6.684077509842827,real
6.948859738254292,real
7.045271556394517,real
4.689803596321014,real
2.873922950802577,real
4.108467038566279,real
4.857819140881231,real
4.8746783617395035,real
4.3670578350614555,real
5.362175348902966,real
5.514563036299892,real
4.928759604141144,real
4.418717578346784,real
6.917427632491927,real
7.640457892310972,real
12.947007362444694,real
13.06087120247582,real
8.402190473415553,real
11.46736482363982,real
2.6022015124406668,real
4.671877766999485,real
3.1958392444297195,real
3.4410469824869017,real
2.822283509845021,real
3.4357682025941703,real
2.464946220707044,real
1.9693728005849809,real
1.8697789818834831,real
4.040019006027544,real
3.407303518513059,real
4.3238944784769835,real
3.643222013082857,real
5.378511307099388,real
5.1433483882629325,real
14.062530498866007,real
11.444906494894212,real
8.36747224541384,real
13.398969991542248,real
11.020786699289577,real
10.568947332582487,real
12.271833948438855,real
6.899758544423573,real
6.371895162092912,real
9.929271481105319,real
3.484462921378798,real
4.654029183030396,real
5.1741407016024095,real
7.318674216742133,real
6.159812994774803,real
11.526251560161953,real
11.054613832651143,real
5.920756248400045,real
9.531553151097643,real
5.2494394768634365,real
7.259486694321488,real
7.9676243198241,real
8.815226004575724,real
8.281410826750177,real
7.31837452044723,real
7.615128034911553,real
9.135622478526507,real
10.464127293565358,real
7.384903811684021,real
10.321428424613913,real
5.311062135392172,real
6.158180097661075,real
4.900147324275084,real
5.2935827619927185,real
6.150793049285539,real
5.554655370861152,real
8.467908509260091,real
9.71942423470092,real
9.433759839882658,real
8.447125517631058,real
4.3422396362124935,real
5.472303372286133,real
4.628782610751044,real
5.077920450446724,real
5.02530223846645,real
5.277809768995027,real
9.211864844073082,real
8.900925467773538,real
7.35033616760092,real
9.220214098426924,real
3.910635595435963,real
5.174417525609695,real
3.5266407449168953,real
8.896711565315496,real
5.283807774896504,real
5.62061059894965,real
4.5470396761964045,real
5.67134769188633,real
10.42167829310363,real
7.759406227721196,real
3.2098529049448685,real
4.889880796564188,real
6.919027105069219,real
6.369902667120963,real
5.081635906477473,real
4.291684139945186,real
3.971297244115952,real
6.347619865180425,real
7.446132963512585,real
5.950201901454478,real
9.711550798928657,real
14.203084103256703,real
11.813844579668952,real
11.892977501054885,real
10.391165428063571,real
5.899474263336613,real
9.087213302031897,real
4.168775128148191,real
5.638167703990836,real
8.655063460935391,real
5.794703477093117,real
5.157300434484956,real
5.692203235859143,real
6.965051201444484,real
6.341939642370839,real
7.157658228148787,real
13.164105517515853,real
15.06104399991524,real
11.09154943213734,real
11.23989829491286,real
9.3745108089011,real
8.642925224696498,real
9.227308950901753,real
12.7982288405679,real
11.793419284762443,real
4.679357658586939,real
6.3613491622623,real
7.032489325042216,real
6.423327902311802,real
5.835926323639472,real
3.8706489483850937,real
4.64055744804546,real
2.71249518580064,real
6.377882714053039,real
3.0551521239732873,real
7.876328600687728,real
8.082307160264566,real
7.362664518602799,real
7.283843140395173,real
9.246207213176142,real
4.589356924630313,real
6.098503151488231,real
5.579285549748555,real
8.33654472135616,real
4.734247960264794,real
6.111600635883979,real
6.447472502473941,real
4.323365307935063,real
6.041092330519772,real
7.234686252269707,real
1.0,real
2.940685999844835,real
6.91899437385686,real
5.055355641473569,real
4.299891886829116,real
5.893797448509288,real
8.487984002287101,real
8.15419795644722,real
8.801203352178483,real
9.07118881950019,real
6.4664660702536745,real
7.250390253125502,real
7.938948983700523,real
7.38561066493993,real
6.361749108330033,real
5.7068367243354,real
4.904377692400065,real
6.026871574999247,real
5.179455356331243,real
7.627918116526975,real
0.0,real
5.490575109558156,real
6.1642843794925914,real
10.656563631741749,real
7.416684831837437,real
4.283773693861617,real
6.088287504012441,real
6.043076296826713,real
6.6418929657733266,real
3.8701576789101217,real
0.0,real
1.49507101066858,real
1.8749950293766648,real
3.4191093008095823,real
5.838011543127006,real
11.671293081784766,real
6.866954539757238,real
4.160782756322131,real
4.633637072607453,real
4.3627028668039465,real
5.970077871642704,real
5.3282485403150375,real
5.1871900001321265,real
5.9416398416494225,real
7.687381650352664,real
10.1261955223688,real
8.015610998555198,real
8.62248997101906,real
9.385837340266471,real
9.38542455499331,real
9.162653125519753,real
10.162638401096356,real
9.779561671382545,real
11.807285455643662,real
11.478848793110304,real
6.118116279801487,real
7.305830826847206,real
8.594541836505583,real
8.950670093415589,real
7.0865669300853025,real
7.901356378252164,real
8.84613290093828,real
6.3993628418357575,real
7.38244568693576,real
8.72911509185808,real
6.138712803071625,real
6.322813649578217,real
6.567031464434809,real
6.637496187890827,real
5.973671376104157,real
10.477709394951715,real
8.23194160821502,real
5.2338640250242054,real
7.974195023972391,real
6.885444834697267,real
11.671293081784766,real
8.036591682192967,real
4.164801325330837,real
9.34737351005105,real
7.829158226461773,real
3.1461105575983117,real
4.192764236874044,real
1.820586447892836,real
3.7079028179971374,real
0.0,real
9.907384978704286,real
10.011423818178194,real
9.534226746472012,real
11.211547485253487,real
9.795568253386321,real
5.697801424019951,real
8.398549723104487,real
13.124263638759636,real
13.631110368861547,real
13.399726361958265,real
6.088412339829036,real
10.627288624260087,real
6.899728461847963,real
12.190958144188096,real
5.167266146341001,real
5.184168433720254,real
5.38874294654769,real
7.379216640453925,real
10.053157100628155,real
5.819166858709661,real
5.105015281223103,real
7.27305182970724,real
7.387039253112414,real
5.980696607760638,real
8.308480239838879,real
8.709706813910769,real
8.88516766111481,real
6.014834654481357,real
8.503051431235766,real
7.479934749091728,real
6.822858064695307,reverse
6.4730428633857775,reverse
8.675042508464578,reverse
5.3751113227541305,reverse
8.893383334176045,reverse
4.694332316178235,reverse
8.640101602795816,reverse
3.682629538325376,reverse
5.349992521924708,reverse
4.757159353594405,reverse
4.897890841080869,reverse
5.772077635231183,reverse
6.452032523111772,reverse
8.32773611810292,reverse
6.755052353716664,reverse
6.622621838258892,reverse
6.760475695113109,reverse
6.216511474489174,reverse
5.487025251698817,reverse
4.441039902360916,reverse
10.170320802907296,reverse
5.736922564249358,reverse
8.489443701301386,reverse
6.318386487926624,reverse
12.226884015082774,reverse
6.276652804597287,reverse
10.973226001782015,reverse
5.766449609393596,reverse
6.311835614360069,reverse
6.19217981085024,reverse
6.71184692284349,reverse
8.60526925453599,reverse
5.364928697284768,reverse
6.63705088565163,reverse
6.206983832687997,reverse
5.0986871911224565,reverse
3.2373728890333795,reverse
4.1984326447755205,reverse
7.453582964431372,reverse
4.518310848274232,reverse
6.726477694260761,reverse
3.4429540780276757,reverse
5.756318712575778,reverse
8.661004538629141,reverse
6.099260693993237,reverse
10.442305290349246,reverse
9.521704459553828,reverse
9.678702794660431,reverse
10.2925800949976,reverse
11.54778139168408,reverse
5.937663157238115,reverse
7.311399282093765,reverse
8.35372576530203,reverse
6.127340796151195,reverse
11.535644558978365,reverse
4.511346935064309,reverse
6.039903417817424,reverse
2.821066024882838,reverse
4.611898423522,reverse
5.511738746683066,reverse
4.514497103501669,reverse
4.162265294997139,reverse
5.280437726782381,reverse
7.097977641408891,reverse
7.101331100413946,reverse
5.443880868668792,reverse
5.616408440367886,reverse
3.511491831414672,reverse
10.936499805986525,reverse
5.088049155326115,reverse
5.171269050662543,reverse
5.616408440367886,reverse
3.511491831414672,reverse
4.435083975462016,reverse
5.088049155326115,reverse
4.828481738152464,reverse
3.8655759757718697,reverse
3.3805159948756263,reverse
3.4935462711903984,reverse
3.666062545689991,reverse
4.114275917401623,reverse
5.284764817746068,reverse
6.3213766458303,reverse
5.715446150201428,reverse
4.718255784421199,reverse
0.0,reverse
4.322564829076559,reverse
0.0,reverse
8.772262551602473,reverse
7.416684831837437,reverse
5.346894702296748,reverse
7.576561004482587,reverse
8.297906579812395,reverse
8.465705157957675,reverse
7.529660675688743,reverse
4.7683740597576705,reverse
4.347505912137619,reverse
4.400900413517397,reverse
5.633445437540706,reverse
5.868161626835796,reverse
4.408370966791695,reverse
6.076218047301631,reverse
8.071227993411014,reverse
8.299523827322847,reverse
6.306915509828493,reverse
3.806612794492498,reverse
13.950417205334247,reverse
7.894421601393546,reverse
4.113086793135588,reverse
8.652547224954382,reverse
5.434835460375676,reverse
10.49317563287196,reverse
9.529108167645948,reverse
12.408828599093033,reverse
7.562884797781097,reverse
6.324050893784923,reverse
4.917770683856079,reverse
6.110811322853858,reverse
4.655543806079779,reverse
4.825637093485719,reverse
3.319301611076058,reverse
10.577859254359703,reverse
8.872628369866085,reverse
6.447209839700568,reverse
9.522647381335268,reverse
7.225257197654108,reverse
8.340730458352688,reverse
5.965388193863533,reverse
6.606784455080248,reverse
7.087003939639323,reverse
1.0,reverse
6.25735700345839,reverse
2.453933677548777,reverse
7.242585636578221,reverse
4.440345123434261,reverse
10.550519103712581,reverse
11.931423330586874,reverse
10.054496884522859,reverse
5.463309072612677,reverse
12.603074959431787,reverse
3.4550211349074478,reverse
3.9638739415130475,reverse
5.457626262063062,reverse
4.190866685738741,reverse
4.036055846980199,reverse
5.415313021676872,reverse
6.584749388181168,reverse
5.5653812245266785,reverse
5.658076946526043,reverse
5.22624543329229,reverse
7.629944683302096,reverse
6.961077979686975,reverse
7.459100212240819,reverse
10.656563631741749,reverse
7.400259969146477,reverse
4.808235699138678,reverse
3.709059896422541,reverse
3.3630744861135495,reverse
3.294711716598465,reverse
6.908020119949961,reverse
5.824292142794628,reverse
8.448792583378145,reverse
6.534316431840081,reverse
7.043983150191174,reverse
6.092654104097255,reverse
0.0,reverse
0.0,reverse
2.732766719797764,reverse
0.0,reverse
0.0,reverse
7.2128913742339,reverse
7.60067860701154,reverse
5.635811866583063,reverse
8.148435539909856,reverse
9.163396389033744,reverse
7.968451660972858,reverse
8.528879586658274,reverse
7.128375610750694,reverse
9.464892615324144,reverse
10.878505984615497,reverse
8.134984260391057,reverse
4.760929781050532,reverse
11.048510809375317,reverse
13.726062837038036,reverse
8.87758193539924,reverse
9.60475810854527,reverse
12.368541392367332,reverse
5.60199090775713,reverse
7.830017600612318,reverse
14.557795571838282,reverse
4.612454867589596,reverse
7.3859474174249025,reverse
9.675682748214886,reverse
6.014811709160866,reverse
6.741836112810057,reverse
3.958126224145394,reverse
4.630930976772014,reverse
7.382376890065809,reverse
9.583690445861027,reverse
9.046469859038655,reverse
2.960429647532602,reverse
5.032726023319607,reverse
5.155686535238022,reverse
6.37617710656971,reverse
3.161830006120654,reverse
6.120271344369558,reverse
8.739738604797026,reverse
6.165449020264618,reverse
6.768226314636118,reverse
5.8774452481353245,reverse
0.0,reverse
2.577474607725222,reverse
5.2933498191051935,reverse
5.058045122496091,reverse
5.992297930479106,reverse
6.6826620059175506,reverse
5.517324160917858,reverse
7.331341824847897,reverse
5.478337369585603,reverse
7.84270429307085,reverse
4.163660120326851,reverse
7.914865765978416,reverse
7.095038712472685,reverse
5.735457364338529,reverse
10.828608342771146,reverse
3.833076208318818,reverse
5.015406100572171,reverse
4.1244291319873785,reverse
4.501059343971326,reverse
4.6942990862877805,reverse
0.0,reverse
0.0,reverse
2.949877875935317,reverse
3.0558930839702168,reverse
4.758900863174557,reverse
6.125332792072621,reverse
8.026648223452334,reverse
11.00913270625783,reverse
4.9803960377746606,reverse
10.299957994348544,reverse
5.887610588283918,reverse
4.9977743072078855,reverse
8.602945312827497,reverse
8.447920897085934,reverse
5.89673958796274,reverse
5.5149662263852015,reverse
4.3690213470556145,reverse
3.1672078216856727,reverse
3.428464983291358,reverse
4.394307288107642,reverse
8.758785916499102,reverse
8.18138779887327,reverse
6.55364562843228,reverse
6.533525714814511,reverse
6.599142138988767,reverse
3.8019911519426284,reverse
4.142173096747588,reverse
4.846439500537571,reverse
4.958184775723611,reverse
4.660566617887701,reverse
4.768381081569773,reverse
5.216507083092547,reverse
4.326794000045319,reverse
3.750726400290671,reverse
3.1199028749734152,reverse
4.812866872833361,reverse
3.235964577587411,reverse
4.104249416378169,reverse
5.054875609154287,reverse
5.2655150452753885,reverse
10.056555953277403,reverse
4.638161058671955,reverse
8.019946925457177,reverse
10.119367550379247,reverse
6.174049056340646,reverse
2.6147484770147664,reverse
0.0,reverse
1.7892744654904775,reverse
4.435358851837929,reverse
5.444013534040025,reverse
7.788007113728838,reverse
8.465259279074065,reverse
8.500147056388169,reverse
8.177256982884852,reverse
11.081719510850679,reverse
7.278435739065823,reverse
7.2860818840542825,reverse
4.9171489327418465,reverse
6.190427330505007,reverse
3.9184809509451988,reverse
5.374527052976351,reverse
6.2138394490013695,reverse
7.253028016148517,reverse
4.704948412684221,reverse
7.306596881753613,reverse
5.131282231989248,reverse
5.413789412758009,reverse
6.085035023464062,reverse
5.901634840108208,reverse
5.755569182853259,reverse
3.869187703401288,reverse
6.0809966331325285,reverse
3.0285952236882068,reverse
3.967087730436793,reverse
5.138151890818387,reverse
8.429071872360316,reverse
9.4902550869304,reverse
8.417578470243908,reverse
6.566614996998448,reverse
12.724728544505325,reverse
5.073568742334402,reverse
8.166909299804125,reverse
10.390268473521473,reverse
9.205183107266727,reverse
8.7249491178749,reverse
5.596357469956509,reverse
3.5720436054045095,reverse
5.083267406186318,reverse
7.020106685467598,reverse
5.423662181455986,reverse
7.201440924972179,reverse
5.801553522523104,reverse
6.73215545079613,reverse
6.916504216963061,reverse
6.291020540762348,reverse
3.8219861305874216,reverse
7.032065454903364,reverse
4.212013985579856,reverse
9.208753778403732,reverse
6.038095868040651,reverse
8.529514348193192,reverse
7.36259370012241,reverse
6.681621593950537,reverse
7.644024610776948,reverse
9.292968875341385,reverse
5.875997635686581,reverse
9.665454203197882,reverse
6.055393881212628,reverse
6.686095607276199,reverse
4.822834856365936,reverse
7.965115259332175,reverse
10.156172415878299,reverse
4.34204973517053,reverse
6.3470731281515835,reverse
6.285245373133096,reverse
3.5679215416889867,reverse
4.068530531150738,reverse
2.3941142687154815,reverse
4.443807137914183,reverse
4.465818664543892,reverse
4.199271122442287,reverse
3.3281417053652302,reverse
4.886355730765221,reverse
4.059306493604614,reverse
5.235235595049214,reverse
6.417078939023629,reverse
3.860611527697226,reverse
4.085237792527991,reverse
5.575113224895908,reverse
3.6306355568503577,reverse
5.387723461113206,mid
5.564195847320368,mid
8.365902196654552,mid
4.443970333732064,mid
3.434480149576063,mid
4.040346067139431,mid
7.036914757657898,mid
4.121054979713742,mid
5.220113349141601,mid
4.091512121691347,mid
4.231621946882755,mid
10.316374370755986,mid
10.355405662808911,mid
9.027952711654743,mid
6.748208923993961,mid
6.561450066541833,mid
9.24858813534886,mid
8.808399428305307,mid
7.4655009174199165,mid
8.922226345943447,mid
10.211105031348882,mid
11.032972417691207,mid
10.869513200308475,mid
9.543149660656953,mid
12.62326188075818,mid
6.239895291363008,mid
6.391137159660717,mid
6.783978833602037,mid
6.678663841389917,mid
7.6377757769169605,mid
3.2650339812759537,mid
6.015392438753626,mid
5.858953678500585,mid
6.851395232777304,mid
7.43359941937479,mid
4.636314593067425,mid
5.424550090722562,mid
4.379245464450866,mid
3.62951209641626,mid
4.437923821673138,mid
4.897584073644351,mid
9.8019290140787,mid
7.043516123447586,mid
7.436874426938556,mid
6.866653795861739,mid
4.850616473335496,mid
6.447396579107915,mid
6.676787510337458,mid
6.188909547356081,mid
5.285296304943067,mid
5.662074221376578,mid
6.525260659084353,mid
6.888758270340783,mid
4.134218548709077,mid
5.994087866065069,mid
7.329095196806629,mid
6.473123182232187,mid
