dx,dy,dr
-9,-5,-0.2314814814814823
-10,-1,0.2222222222222232
-9,-5,-0.3981481481481479
-8,-5,-0.009259259259258634
-8,-1,-0.10185185185185297
-8,-3,-0.4907407407407409
-9,0,0.018518518518519045
-7,-2,-0.05555555555555536
-7,-4,-0.0370370370370372
-7,1,-0.28703703703703765
1,2,-0.25925925925925863
1,1,-0.20370370370370416
2,3,0.34259259259259256
1,1,-0.027777777777778567
1,2,-0.18518518518518468
-2,0,0.12037037037037024
-1,-4,-0.018518518518519045
1,-1,-0.157407407407407
-2,-1,-0.10185185185185208
-3,0,0.009259259259259522
9,2,-0.06481481481481488
10,0,-0.0555555555555558
11,0,-0.08333333333333304
9,5,0.11111111111111072
8,0,-0.39814814814814836
11,2,-0.18518518518518512
11,4,-0.03703703703703676
10,1,0.07407407407407396
11,6,0.2129629629629628
11,0,-0.4074074074074079
2,-1,0.3888888888888884
1,-2,0.3240740740740744
-1,-3,-0.06481481481481577
2,-3,0.009259259259259522
3,-3,-0.21111111111111125
8,1,0.0777777777777775
9,-1,0.092592592592593
7,-1,-0.10185185185185253
7,-1,-0.11111111111111116
7,-1,-0.11111111111111116
6,2,-0.3111111111111109
8,1,-0.2314814814814814
8,2,-0.03703703703703676
5,2,-0.12037037037037068
4,2,0.10000000000000009
9,5,0.2870370370370372
10,2,0.3148148148148149
9,4,0.2592592592592591
8,4,0.14814814814814792
8,3,-0.08333333333333348
0,-2,-0.22222222222222188
0,-3,-0.1759259259259256
0,0,-0.02777777777777768
0,0,-0.3333333333333335
0,-2,-0.5925925925925921
-9,-7,-0.5092592592592591
-10,-5,-0.4907407407407405
-9,-4,-0.28703703703703676
-8,-4,-0.4814814814814814
-8,-5,-0.5092592592592586
13,8,0.4555555555555557
13,6,0.4814814814814814
12,3,0.33333333333333304
12,5,0.3148148148148153
13,3,0.2592592592592595
0,2,-0.06666666666666687
0,2,0.25000000000000044
0,1,-0.04444444444444429
0,-1,-0.12037037037037024
0,0,-0.3425925925925921
-13,-6,-0.5222222222222226
-13,-4,-0.23148148148148096
-12,-2,-0.3777777777777773
-12,-6,-0.43518518518518556
-13,-3,-0.6018518518518516
