Non_redun,CQ,ego_ego_overlap,ego_alter_overlap,condition,roundID
3.0,6.152422937969803,0.12689204070783022,0.1634469696969697,mid,5
3.0,5.482456599883835,0.12387265512265513,0.15401154401154402,control,1
2.5555555555555554,5.403024346195577,0.11272366522366524,0.12337006427915519,real,1
2.0,4.985575412040183,0.1586272780717225,0.1648827561327561,reverse,1
3.0555555555555554,6.482100754435053,0.1283008658008658,0.16554713804713803,mid,1
2.5,6.394896083710686,0.1372103386809269,0.11239669421487603,control,2
2.888888888888889,6.909280487811811,0.14846759520672564,0.10613636363636365,real,2
1.8888888888888888,5.672964514718985,0.1426046176046176,0.11588613406795224,reverse,2
3.0555555555555554,7.179518670396579,0.12363301381158523,0.10772727272727274,mid,2
2.4444444444444446,6.078017694677109,0.14422979797979799,0.0966810966810967,control,3
2.3333333333333335,7.06193153956972,0.12740981240981242,0.14150596877869603,real,3
2.2777777777777777,6.3574527034127,0.14977954144620811,0.10953282828282829,reverse,3
3.0,6.564704813950214,0.1295214045214045,0.14125874125874124,mid,3
2.888888888888889,6.662640867202897,0.14661654135338345,0.1368406285072952,control,4
3.3333333333333335,8.009142669901864,0.11886724386724387,0.10515873015873015,real,4
2.611111111111111,6.182326262020826,0.13800968872397443,0.11156565656565656,reverse,4
3.2777777777777777,7.241007062755297,0.12892255892255894,0.11234567901234567,mid,4
2.5,7.405803381060693,0.13551925505050505,0.16828282828282828,control,5
2.9444444444444446,7.338687932391412,0.14264397218942673,0.1408008658008658,real,5
2.111111111111111,6.81199448870388,0.1512456819275001,0.16717171717171717,reverse,5
3.5,7.925466242687181,0.127732683982684,0.15147630147630145,mid,5
